State,Total expenditures,student_teacher_ratio,per-pupil_spending,Median_Income,Poverty Rate,Urbanization,Teacher_Salary,Graduation_Rate,Year
Indiana,11019863731,18.1,9471,44600,15.3,72.4,2766157778,77.2,2010
Iowa,5638845537,13.7,9996,48000,12.5,64.0,1300772783,87.9,2010
Kansas,5130234459,14.6,10475,48300,13.5,74.2,1472273105,84.5,2010
Kentucky,6936782284,22.4,9803,40100,18.9,58.4,1809554336,79.9,2010
Louisiana,8239000256,14.5,10758,42500,18.8,73.2,1774905085,68.8,2010
Maine,2569363399,12.0,13319,45800,13.1,38.7,608837868,82.8,2010
Maryland,13054970648,16.3,14270,68900,9.9,87.2,3077126503,82.2,2010
Massachusetts,14852073614,13.6,14860,62100,11.4,92.0,3341704516,82.6,2010
Michigan,18952344243,19.7,11113,45400,16.7,74.6,4203574012,75.9,2010
Minnesota,10327887906,17.7,10728,55500,11.5,73.3,2348531818,88.2,2010
Mississippi,4305707350,15.5,7807,36900,22.4,49.4,1092004484,63.8,2010
Missouri,10076354129,14.6,9717,44300,15.3,70.4,2531541315,83.7,2010
Montana,1624458002,13.1,10522,42700,15.2,55.9,474708467,81.9,2010
Nebraska,3601025427,13.2,11239,48400,12.6,73.1,952095701,83.8,2010
Nevada,3998256266,22.5,8482,51000,14.8,94.2,1065611018,57.8,2010
New Hampshire,2716061086,13.2,12947,61000,8.6,60.3,653329508,86.3,2010
New Jersey,25530467182,13.9,17411,67700,10.2,94.7,6076862362,87.2,2010
New Mexico,3792843337,16.0,9179,42100,19.8,77.4,810813944,67.3,2010
New York,55514866992,14.4,19371,54100,15,87.9,15355715000,76.0,2010
North Carolina,13290164943,15.8,8199,43300,17.4,66.1,2980372878,76.9,2010
North Dakota,1146603449,11.9,9859,48700,12.5,59.9,283077204,88.4,2010
Ohio,22735522912,16.6,11407,45100,15.8,77.9,4941697862,81.4,2010
Oklahoma,5599427859,14.4,7760,42100,16.8,66.2,1310420339,78.5,2010
Oregon,5998854401,21.1,9911,46600,15.8,81.0,1565580042,76.3,2010
Pennsylvania,25432778712,14.4,13023,49300,13.4,78.7,6695464008,84.1,2010
Rhode Island,2240650951,12.9,15428,52300,14.1,90.7,587757057,76.4,2010
South Carolina,7837111772,16.8,9215,42000,18.1,66.3,1998331236,68.2,2010
South Dakota,1266678784,14.0,8885,45900,14.6,56.7,312260280,81.8,2010
Tennessee,8585085557,16.7,7978,41500,17.8,66.4,2643883844,80.4,2010
Texas,51005283222,14.2,9002,48600,17.9,84.7,2678484126,78.9,2010
Utah,4436603695,23.3,6358,54700,13.3,90.6,1189548530,78.6,2010
Vermont,1540252140,10.8,16113,49400,12.4,38.9,355376829,91.4,2010
Virginia,14396154732,18.9,10894,60700,11.1,75.5,3592438962,81.2,2010
Washington,11378702751,20.9,9700,55600,13.5,84.1,2508542567,77.2,2010
West Virginia,3421405507,15.1,11729,38200,18.2,48.7,713560151,78.3,2010
Wisconsin,10640580017,15.6,11506,49000,13.2,70.2,2844275006,91.1,2010
Wyoming,1683523106,12.7,15847,53500,11.4,64.8,342983854,80.3,2010
Alabama,8267848324,17.7,10196,53913,15.5,57.7,1971283287,90.6,2020
Alaska,2578101535,17.6,19563,77845,10.1,64.9,1280000000,79.1,2020
Arizona,11505391790,23.6,9161,69056,13.5,89.3,2501266456,77.3,2020
Arkansas,5918258769,12.9,10654,52528,16.2,55.5,1251796243,88.8,2020
California,98986197601,22.7,14108,84907,11.8,94.2,20671218040,84.3,2020
Colorado,12672578427,16.9,12430,82254,9.3,86,2534485507,81.9,2020
Connecticut,11973673682,12.4,21356,83771,10,86.3,2533389320,88.3,2020
Delaware,2091661954,14.4,14243,71091,11.3,82.6,286530660,89,2020
District of Columbia,2689838471,12.1,25345,90088,13.5,100,474778352,73,2020
Florida,33227570069,17.2,10042,63062,12.7,91.5,5930910899,90.2,2020
Georgia,23021526085,15.0,11449,66559,13.3,74.1,5257769183,83.8,2020
Hawaii,3214491215,14.8,17307,84857,9.3,86.1,613881047,86.3,2020
Idaho,2972416803,18.1,8531,66474,11.2,69.2,841595504,82.2,2020
Illinois,37289622806,14.6,18431,72205,11.5,86.9,7277177711,88,2020
Indiana,12576337992,17.0,10974,62743,11.9,71.2,2730988446,90.9,2020
Iowa,7390693838,14.5,12828,65600,11.2,63.2,1552096769,91.8,2020
Kansas,7155089267,13.6,12351,64124,11.4,72.3,1665482662,88.2,2020
Kentucky,8790131807,16.4,12695,55573,16.3,58.7,1929630564,91.1,2020
